R,G,B,clust
20.397281551320148,22.82617818167528,26.813677106733717,1
21.62278482020448,23.15593100264752,24.96148139352445,0
19.806783097730765,23.899200850733884,27.38355685177801,1
21.63069751932253,24.461086144766742,28.040460885169047,2
20.6236870576012,23.095766809198544,25.43662366521925,0
20.916864438923238,23.251343220918606,26.03996776049981,0
19.46456580624378,22.784441019988623,25.828973877545497,4
20.31423313449619,22.28707891609355,24.276394425831874,4
16.856123353618667,20.6373993729237,25.00106514756073,3
21.85288593309178,23.942103816968235,25.95808576297054,0
19.44799473463341,22.033610119916663,25.36164433068113,4
22.790028970176262,24.441932465925824,26.24511254539637,2
21.41511975471911,24.610830451592392,27.64298145359883,2
19.58839077891879,22.71032409813777,25.703764726099998,4
19.60870127015817,22.617420257553952,25.2772681429379,4
22.05652894948789,24.85618953216698,27.237954827616736,2
19.11296099270381,21.243223264337377,22.756908301078827,4
20.778950975751737,24.32059826558076,24.930650749311443,0
22.954205625711875,25.767201795167875,28.89235814974068,2
21.674229028747888,25.38880099182721,28.68462565048463,2
21.819044887385985,23.38221039324867,24.804984718023075,0
22.134867476605304,23.43300753813849,24.358640544000064,0
19.61044725289056,22.6982460749502,25.10655786810566,4
18.8163917755041,21.67990239263398,24.64267797804952,4
20.47736326857341,22.41679119408198,25.20390651152532,4
24.71017658534167,26.096003165180644,27.610512341291024,2
19.86333615009196,24.0444651750452,27.8137432701642,1
18.162939077840203,21.97704143475632,25.168430795474052,4
19.80367951429041,22.637167165852198,25.214314035194548,4
21.04382101321784,24.609739310759,28.06269057651668,1
18.97379700929424,23.04658638783872,26.42621845863204,1
19.82173297275134,23.28952739932316,25.916497982496256,1
21.44800906300988,21.72614036263156,25.33386771847756,0
21.202108101635545,23.781089785514236,26.64549710717812,0
20.98879263770226,24.39360211097777,27.847235701773425,1
16.675407926161117,23.007163395895734,28.529551701056,1
20.619384144021367,24.190728758192183,26.49033413694752,0
20.5036624851496,22.433729509108623,24.25265783039736,4
23.98495430236173,26.303665626508923,28.260231674668265,2
21.19177263450052,24.14028838963488,26.106342585408377,0
20.379040066810283,22.93511932384298,26.035524929193688,0
17.87783697045878,20.98122974271158,24.178606202727916,3
18.17266436928461,21.948400858369464,24.82453648884263,4
21.03739206727059,23.327839259925227,26.024591535484912,0
21.36446500512473,22.82706285039114,24.526170145971975,0
21.562639095424185,23.08585796061603,26.19009418883435,0
21.18550813394997,23.204840276807072,24.89469993248061,0
22.753364327190635,24.42646554387386,25.92604454896199,2
20.360916932707187,23.494632154803963,26.443608390641327,0
19.638201116144035,22.857886173408577,26.04895804450332,4
21.48991303375825,24.63554321932257,26.88136665789687,0
20.61056318011328,23.164340345778097,25.656364720202127,0
20.585922790646997,22.83662765149945,24.949447812223937,4
23.105286841195376,24.8715578911195,26.029639713030704,2
23.951447397171087,24.913959613291063,26.067390392755037,2
19.118971314015216,21.473753736881,23.597507681783306,4
19.326381504715638,23.42977415315212,27.363374068782257,1
20.57250629784996,22.906107065519755,25.875785985207724,0
22.81430846866268,24.39250199166328,26.11291044223826,2
