R,G,B
19.21410954543414,21.647856900060578,24.660316651187294
21.687578665295515,24.3624070651406,26.928105593053594
21.7781963997857,24.2445100387783,25.826749518269537
17.188828651153052,22.132985022157246,28.424181325252523
22.137154727334163,23.901324338836737,25.891441030542943
19.230299311340662,24.24263147188488,28.55034776771763
22.155896070476466,23.028123191509412,25.18455393368943
18.28471808878348,21.606110241354266,24.980190399931022
19.79104417344927,22.188340926763846,25.658655707130652
23.535896466673197,24.902761926835545,26.186521855214107
20.74198207026459,23.58396767141188,25.820303185303384
20.774334552430087,23.669678014081196,26.636016591856773
25.671265465677255,25.789888041512988,25.598161795223657
21.60036655019357,22.812174818417223,24.32554319274212
22.01741694399866,25.0780752144322,27.88663570409218
22.97946822666418,25.099975863171252,26.952882512115483
21.590357771013327,24.1731571805365,25.30684090986521
20.198576454480268,23.24257852789626,27.483167193605503
21.877149324462405,24.016121341422682,25.311708992240984
19.84334555849119,23.99756418045003,27.03470063580513
21.686205930219362,24.257817732596504,26.38153980161342
21.835247797798722,23.187770176143637,24.24700603504692
20.578224381522634,22.25116335997453,24.37590978457013
19.732454017278503,24.752130764458723,29.798795696223667
15.551499132190477,19.531001895075498,23.442644546289475
22.690539800935742,24.507555923110335,25.815526075186888
17.82778786997216,20.46838837463416,24.078732067497654
20.164715306087952,23.190273121453103,25.660634531979856
22.347341169873058,24.04209771347756,25.227516819160474
19.836749132942575,23.06183846767682,25.061704648678365
22.847825278298533,24.984103381776375,26.48748420080466
21.02195456318739,23.48083304985362,25.89452116835442
19.87583310619905,22.404210728147035,25.185910399149822
18.53591222177257,23.055050935529597,27.003576383156958
19.542368007493618,23.567293356554995,27.080417900561322
20.728261632217492,23.624904586085375,27.034709302562643
23.114728726695606,24.824591095390875,28.542238334500595
20.195964121110485,23.119130597716882,25.710470539695695
19.380864695067736,22.073746179166726,25.44343343497112
21.20424365671675,24.327894088124836,27.09460464254424
20.940187475574923,25.185894222801515,28.337344944459897
21.86017368573437,23.083176445650558,23.76624521626434
20.03172179803512,23.761653632631887,27.148716399006485
19.79185194186031,21.723679681738695,23.313996187727565
21.160824503382752,23.852196464293552,25.662080055507072
19.31986394107116,22.273693442924376,24.364632409717192
17.05300069334876,22.16172749708417,27.265157460315898
16.944389986480186,21.933852099386133,25.798862351697338
14.930441916017884,17.951307843517156,21.61952233461937
20.732937764884277,22.778921490091296,24.61677436397216
19.682719144436383,21.63878698666837,27.700870745694164
18.803104019782015,22.280169743123583,25.539880976034162
20.460226926229833,22.299822958192653,24.38226965983208
18.794170687344486,21.42068248953941,25.013856861226625
18.343162986803463,22.492506325573125,26.561872815633066
21.11554680841739,24.407621424180395,26.470088586181507
19.647731961092877,24.162926126389642,28.13047635304454
21.4852683621831,22.90595681452533,24.26819892457731
17.566951366650265,21.428001364024837,26.950998469672278
20.315186698529953,22.462744669112833,23.71591634685792
22.669403475032375,25.78033901306719,27.948512955320677
20.52444174011829,23.267745892123123,26.172223814012586
21.795927200455527,24.054986621587943,25.588256612834495
25.900601725214774,23.70522004850517,22.90280166646693
21.23214678088258,23.352857593412537,26.249392935928384
21.713457823109053,23.112917500882133,25.662345595870814
20.242403334816128,22.217160438654425,23.86174169693709
17.862804517672803,21.99957268635836,26.83651134049155
22.615548028192368,25.856169738605427,28.62132158563382
20.62408397517622,23.385998302095782,25.723758733591712
23.930358048819397,25.77896853792625,28.264727751399665
21.800631979750612,23.665061844030994,25.41301169213894
17.2618199735757,21.843477320228416,26.35557392259844
22.857723499746527,24.51812295604483,25.564187962549482
22.525662658103133,25.275348701823017,27.280055282835132
17.585783996075204,23.87170898819192,28.35260810512127
21.011737154255194,24.168855048709002,26.324915946920715
20.765278826346734,23.33382882224323,25.814855637691725
18.849918021740557,22.07199118727726,24.15880710959763
20.106915426981892,23.46116521435079,26.56118447748797
20.31521508412289,23.29325243965759,25.393272211975372
21.412367929125004,23.178253041741566,25.79330221119154
20.51366570939472,22.93839428507614,25.334760491159454
21.592466638277124,24.645007971609385,27.16035004686589
19.13450720976773,21.70454252313568,23.707254297896018
19.618847411237546,18.834887301932213,24.665630253670944
20.376698041462408,22.81219823973863,24.95211986644709
23.17519598566069,26.25153064358642,26.700091275890728
24.90451387640069,25.69259584549265,25.47232650823321
23.246074245019702,24.91430302000713,26.760667874451965
16.829165058021196,21.545758392446444,26.54940401520069
21.80035872002827,23.476023564512015,24.179758981927282
24.13672571371384,25.28821644864523,26.172191343367242
23.576754608232065,26.203867255033963,28.623197845453824
17.9983123314302,22.052576524898086,25.43361669511951
17.278463194784077,21.17626064694347,24.967595099687696
20.728412204573186,24.014252018903512,26.789019191352516
21.04038579643299,23.832155518712202,26.564403795688584
23.044089297833846,24.69493092757974,26.164359401404987
18.05554954086651,21.806975237346602,25.15759045209793
22.36460138409238,25.162690511028835,27.477633974669807
19.272676019766838,23.732716497190975,26.67786491088009
20.876362162744158,22.98415779645144,24.389107875151787
20.455268181721394,23.38666768684353,25.908043236074935
22.086016040015178,23.690961841890445,24.375015006147972
20.56219973082233,23.54579458008399,27.69963143515221
20.41298607614913,23.710947231417645,26.841406501461755
21.602045587664424,23.82493291078499,26.238631668447308
20.753752652975837,22.994933108778802,25.488333604132514
22.687005985242035,24.205056232090616,26.0338920200133
23.17697879750455,24.452192768440188,25.895826083265565
24.755701941617,29.374461418215002,33.03130028857519
20.00640773547597,23.904063516129675,27.832371231578943
27.22447319151282,28.96206745438738,28.91635561744128
19.378977541609174,22.69409786041665,26.679724993803646
22.740259281854055,24.41754022317064,28.18244011858554
22.329265178839833,23.77005289327733,24.63028284338782
19.375988426329243,23.160147165641558,26.263084797471645
20.490833244931817,23.961903567115638,26.606186630309185
19.850931532684616,22.177194299859195,24.029771091292204
22.453143433454656,24.53167328272662,26.12506531053294
18.395413773346053,23.027751328336873,27.70488039190382
20.800691127135586,24.460051201040248,27.55856383465112
16.74115910621368,20.526673042518205,24.26647809197005
22.880480211801835,25.10702655371319,26.612047728145903
20.16581533560265,23.88538374373685,26.199593688469427
19.41617613893546,22.7398085792791,24.77288677977653
24.3458967333602,26.249408090842287,26.524093772701438
19.35116314246859,22.24001447803149,24.790294878787112
20.21823198429339,23.779219483568962,26.843104190266658
23.591144570870476,24.324736580054573,24.952486832612585
24.82620160596446,25.441794564159306,25.865258682793126
20.745915887463198,22.84091452786776,25.126269472950238
20.016468234046442,22.311306457469847,24.17873814017957
20.597996316877886,24.861053984563725,28.87673072829634
22.468228619844208,23.707222545185378,24.93101881649461
17.315217606331718,21.929230536605832,27.918197461402897
19.544867681970423,23.370024459321886,26.824901784187002
24.752072224341124,25.725399776092576,26.723992203053477
20.185413398382362,23.71397843896874,26.579561455322615
18.103954322750326,20.72330865251604,23.634898820811152
14.587757971544473,18.981302927894568,24.475111335911162
22.854590609323598,24.316474154486237,25.029475509800694
22.464311389985745,23.11999136755517,24.032162489451746
19.137177580952432,22.392527382699875,25.354789021571115
20.691573617222012,23.894628239017788,26.41814033592648
18.92479556701468,22.013770880689854,25.806481778402834
21.31094241594004,23.48333219118427,25.423189202920696
20.43428191614006,23.79586043027406,27.32836637864049
22.345336625775314,24.630152310262073,27.076806190006415
21.17540774575275,23.081323211856688,25.259812859316618
23.179256237405635,25.42613046022574,27.15137127935566
23.61393157299375,24.376157790227058,25.167655687110173
21.915833147201266,24.98536816571153,27.788526175641564
22.441425955579536,24.175621657038203,25.547215268596748
21.846093445475756,24.435938229341804,26.59064050010833
24.089851791881333,25.531409865383768,26.364465637270943
20.269757358114514,21.529118132068124,22.23516224189853
20.53500900837144,23.455051503746283,25.692208885373443
23.1134211511541,24.39512261334588,26.394639810145787
18.98600902277925,23.167038676530517,26.902371394590602
18.83633390719255,21.896471682188025,24.70465033345714
20.009280860526832,23.550904061820894,26.688822008761026
21.565511305457253,26.053137696326903,29.838186313452997
17.55699006192043,21.221633159952603,24.854338503280573
19.41321256635059,23.37219964822554,26.70100777330076
21.623820749496208,24.165609326236147,26.6533458631367
19.05169418122751,21.99995970686452,25.503544585029616
20.18490542661289,22.398108714214576,24.984898553195027
21.342191826086665,23.788943722656366,26.072116638951083
23.461937760776475,23.548652802660794,25.60876573768014
20.277223720694703,22.650445204613156,25.58745565602988
25.661340963948952,28.083711867749205,29.15094020490428
18.033087642678375,21.42268507740511,24.957068254002934
21.32982764453866,24.297218525348057,25.981370669399166
18.451781710978977,22.747813514467598,27.39955581982351
21.56582588743237,23.950892450614166,26.341649644404566
17.918683990256433,22.253882139758105,25.546510605860878
21.36005859940648,23.837907435173342,26.143292607248487
24.118386213534805,24.15864388994196,26.39290964517341
21.023357219871585,23.2903802215258,26.100875908621624
18.192703917519964,21.663542781549207,25.369487728903824
21.417034899996054,24.327249802244364,26.02934348178185
18.6727152598615,22.95984292332606,27.554957382010297
21.741965039941608,24.17405907439975,26.60221550942895
18.267342112943524,22.52233863226529,25.779755189456807
20.870090744523175,23.454171557690476,26.78787965777243
19.84120372054584,22.734783876222668,25.169543467630255
21.717377197304547,24.079496437437395,26.504465720175414
20.2302616245046,22.797824652883104,25.114110859468955
24.144863264352658,25.01032125472333,26.728125290734727
17.248165554409844,18.60351167126132,23.543215200565758
22.776951947774705,23.669382189726054,25.242880395956927
19.012198560912104,23.961324824257495,27.75574289984778
20.988899498971804,24.560478044423196,28.336942899117314
20.49620720834826,23.005600365859724,26.625157533416033
24.069281972791835,25.92991477379958,27.649201098214565
20.751019406151485,23.3345970909203,25.424721600624427
16.186435912501675,19.29790010152475,24.240755258881432
19.32965661524019,22.669035542115452,26.45927583389295
18.515834792678977,22.418939782627493,25.90890854027604
18.30813880708497,20.63222256966456,23.411186700423123
20.51330446787978,24.751606780046547,28.14846399896245
18.98379027401669,22.565394775672363,26.039576803186694
18.0064542946466,21.35496113147936,24.527741057723233
20.167645611669297,23.215844414609872,26.109263926719905
17.729577445332456,24.548238653538604,29.91197465499541
18.683564840690284,22.599192712655103,26.278629389900136
23.485716154061542,25.238012613620814,25.80152624793842
23.178458447240622,25.95675208126253,28.92327587554086
17.26027454797895,23.750447465277272,29.227151397271328
22.729037334274132,22.416328633868986,23.807585354479563
20.935055434072197,23.71131864514174,26.805920858714185
19.370054254246835,24.50834432033509,28.663001979152302
21.044131441010503,23.65152678973454,25.979487714213565
21.891078680399815,24.9082007559494,27.241778623099087
20.403022746816006,23.898859981544476,27.004254651256094
21.90078957081539,24.39418091096092,26.519244325598354
22.129059615719246,23.353248820609068,24.91413193476921
21.04975788057772,24.18872522538408,27.370358838965704
20.480529099766713,23.11883836111216,25.49300475351952
21.48476829463305,24.724812084212125,27.01645069659806
20.126636495930864,23.52690521193153,26.446311770787368
22.849267428231244,24.24452102561226,25.376019198841604
22.028534742601003,22.972495787229867,25.225244088514884
19.879244634986076,21.277275689863753,24.100783608003564
19.542337904834174,22.21956118500749,24.63934621975285
19.948955653942953,21.94138108849977,22.84276092766384
16.847809613895596,20.468581403074662,23.953004029991916
20.5056231782909,23.468116524545174,25.88299517500544
20.07887991549518,22.977132722481983,25.69817272792104
19.92280791979987,21.680760800231784,23.76701061634052
19.804780932194067,21.906923072433912,23.952587183470357
20.014063001299306,22.614713637486446,24.652673404286933
21.60597882332228,23.514990764175653,24.435617130029527
18.856580943616798,21.49245826810624,23.370447842624266
25.80133147441877,26.321412925838292,26.576355777070358
19.888374748002967,21.4044134651882,22.295426173008146
22.660629118391103,24.356690196953135,26.1351010106964
24.042602453235254,25.743629194859984,27.094310113323615
22.503108155843737,23.988537745872367,25.809648719356247
22.59474504942476,24.574794935485162,25.74458276499594
20.492741852170873,24.814592875046433,27.92098825285851
21.4097754319548,26.67848303953041,30.293474025739318
21.268931895187905,22.613165769855403,24.034444669555793
18.632732245534083,22.605700596192854,25.618848325129125
19.012002249749955,22.753509507926356,26.751141861038644
20.333112279134863,25.11489076447956,29.345438430294585
22.025074488813306,22.26570386413076,21.476143867686073
20.627498522685457,24.824012205697255,27.754337609708163
24.066956765097906,25.85980401706384,27.90109873977651
21.624232991187082,23.109941434600515,26.815390895332595
21.67216818197206,26.99937999001715,30.4716428309812
20.227552749717194,22.23310849390031,24.642804870883015
17.441149493308494,20.9663055664845,24.656045591212568
23.852060295093697,24.817799591296122,25.466654524041665
22.66051806522709,25.188774941781027,25.665529583751297
25.928214296668056,26.565681287628557,28.405267830631438
20.892394569814467,23.880564706587602,26.195398772359898
16.104251127070707,21.080949000447855,25.020091058530607
19.558758866122684,22.49002787512014,25.779339208493404
20.833397320413077,23.473148483772484,25.557993612263456
20.729652402769077,23.274259881214014,25.66736593689467
21.3676739553841,24.016733949659056,26.393120892023838
23.220416057155482,25.17165126138818,25.843091219754772
21.195309780047406,23.72740507173265,26.27644975582956
21.30176402699591,23.29582739141488,25.227406604466225
15.832610634792136,20.75428101701308,25.778551187813555
20.736786351093432,23.076440173476367,25.033607563850385
18.91941222213563,23.14166101003064,27.039683082802714
19.162282418163347,22.923368971048212,26.268687782951744
19.154970189474586,21.28749449745209,25.197529959543502
21.681482029861446,23.887576747661594,25.907206427589426
20.588501770980056,23.723537257885244,26.40333368629396
20.478479254288978,23.30684090002177,27.70875402388878
18.962180566496432,21.709633318692592,24.49529492227128
