R,G,B
20.397281551320148,22.82617818167528,26.813677106733714
21.622784820204476,23.155931002647517,24.961481393524455
19.806783097730765,23.899200850733884,27.383556851778014
21.630697519322535,24.461086144766746,28.040460885169047
20.623687057601202,23.095766809198544,25.43662366521925
20.916864438923234,23.251343220918606,26.039967760499806
19.46456580624378,22.784441019988623,25.828973877545497
20.31423313449619,22.28707891609355,24.276394425831874
16.856123353618667,20.6373993729237,25.001065147560734
21.85288593309178,23.942103816968235,25.95808576297054
19.447994734633415,22.033610119916666,25.361644330681134
22.790028970176262,24.441932465925824,26.24511254539637
21.41511975471911,24.610830451592392,27.64298145359883
19.58839077891879,22.710324098137775,25.703764726099994
19.60870127015817,22.617420257553952,25.2772681429379
22.05652894948789,24.85618953216698,27.237954827616736
19.11296099270381,21.243223264337377,22.756908301078827
20.778950975751737,24.320598265580756,24.930650749311443
22.954205625711875,25.767201795167875,28.892358149740677
21.674229028747888,25.38880099182721,28.68462565048463
21.819044887385985,23.38221039324867,24.804984718023075
22.134867476605304,23.43300753813849,24.358640544000064
19.610447252890562,22.698246074950198,25.10655786810566
18.8163917755041,21.67990239263398,24.64267797804952
20.477363268573406,22.41679119408198,25.203906511525318
24.71017658534167,26.096003165180644,27.610512341291024
19.86333615009196,24.044465175045197,27.813743270164196
18.162939077840203,21.97704143475632,25.168430795474055
19.803679514290412,22.637167165852194,25.214314035194548
21.043821013217837,24.609739310758997,28.062690576516676
18.97379700929424,23.046586387838722,26.42621845863204
19.82173297275134,23.28952739932316,25.916497982496256
21.44800906300988,21.726140362631558,25.333867718477556
21.202108101635545,23.781089785514233,26.645497107178116
20.98879263770226,24.39360211097777,27.847235701773425
16.675407926161117,23.007163395895738,28.529551701055997
20.619384144021367,24.190728758192186,26.490334136947517
20.503662485149597,22.433729509108623,24.252657830397357
23.984954302361732,26.303665626508923,28.260231674668265
21.19177263450052,24.14028838963488,26.106342585408377
20.379040066810283,22.93511932384298,26.035524929193688
17.87783697045878,20.98122974271158,24.178606202727913
18.17266436928461,21.948400858369464,24.82453648884263
21.03739206727059,23.327839259925227,26.024591535484912
21.364465005124732,22.82706285039114,24.526170145971978
21.562639095424185,23.08585796061603,26.19009418883435
21.18550813394997,23.204840276807072,24.894699932480606
22.753364327190635,24.42646554387386,25.92604454896199
20.360916932707187,23.494632154803963,26.443608390641327
19.638201116144035,22.857886173408577,26.048958044503316
21.48991303375825,24.635543219322575,26.88136665789687
20.610563180113278,23.164340345778097,25.656364720202127
20.585922790646993,22.83662765149945,24.949447812223937
23.105286841195376,24.8715578911195,26.029639713030704
23.951447397171087,24.913959613291063,26.067390392755033
19.118971314015216,21.473753736880997,23.597507681783306
19.326381504715634,23.42977415315212,27.363374068782257
20.57250629784996,22.906107065519755,25.875785985207724
22.814308468662677,24.39250199166328,26.11291044223826
21.743534228344455,24.634721245254557,26.80820367257324
22.213480758889673,24.054750515036975,24.351554638086107
19.548175958787226,22.14040829106169,24.45668078305191
21.22168351761607,23.389117305661415,26.33192064614617
21.20107565277432,23.906182269123928,26.672508499416097
20.22309533965384,23.632753336563574,26.91277632921743
21.710112571901515,23.809130001520604,25.92606134756107
16.568375598648934,19.77480251021176,25.10171767730894
18.98213421744885,23.084979929483357,26.631468728101385
20.85933141837309,23.767093804689736,27.451027638408082
23.146285798625648,25.049880570449048,26.651139457348716
22.893767808415554,24.55079340578038,26.165515768729264
20.524999378550792,23.941306445331655,27.33714336922048
21.235669167515,23.828654873309425,26.25670867922433
18.380598600522564,21.362897872826764,25.51883603563715
23.19856843930224,24.915637516988202,26.521523351211616
18.41466748588635,20.655211438629035,22.47451369714283
19.11087911170026,21.5270934746115,24.579571209650318
17.73984730817869,21.623484747404696,24.815988175224412
20.260011695066286,22.855407250662143,25.40089343070532
19.433396655512276,23.004392141550532,26.33095069012351
21.418812944865365,23.42630321327391,25.671955276033554
17.840393408022166,21.568614854377394,25.331337395230353
20.65305328899685,23.640002777146705,25.88153178564229
21.88655391243286,24.14606871216512,25.992398624484142
19.490341073329965,21.64604020553608,23.390093303663583
19.573434454794263,22.505656870756745,24.875885257114156
15.883149625160597,19.545882186597144,23.475324127714238
19.17879985159075,21.73762170191351,24.953449998430425
24.253728754487728,25.09156196124713,26.00516913761248
23.53192456334758,25.027602083120165,26.269709765855957
19.852093965365476,21.21875650254133,23.3532403873283
17.85492777458149,21.107483957653837,26.860712107589404
19.736949820341604,23.631846872758743,27.08674189879422
20.40651866734375,23.51769585031467,25.739163051758876
23.643027812214427,24.750839291372447,23.909123151503234
21.917131677229804,24.32381255241609,26.75572328044617
20.46937802368143,23.315943532209364,25.76118666962661
21.60609700567199,23.043880005013467,24.43786702432135
21.33091405956878,24.20640953658785,26.285178966472092
18.633969787511877,22.4691571173988,26.252959656917035
20.825383599547976,21.901870877225708,26.859740270261575
21.68599943313526,24.582507058406954,26.694673657662154
21.10630104871432,23.54777440440828,25.544852970437585
16.647273111228962,22.21675334752199,27.35844928013758
21.375255959120842,24.2505588911803,26.40997074931033
20.376473829353866,22.41131867279953,23.794901516962522
20.152014948277763,23.654981674070466,25.976415889465567
20.45977768798938,23.421878672494085,26.893411128162217
22.124621484618512,23.263558965302312,23.937344605249997
19.945742188015625,22.562716909772643,25.74310424745635
20.331586429134244,23.087268057663618,25.699942927239906
23.051156197194715,24.86637757940903,25.529788406978657
17.540732759359067,23.651073070904598,28.674639016579814
21.59775925896796,24.460678995324614,27.526162044719463
21.85914966767599,24.05355101520843,25.972874420813984
20.86730705361076,22.96541499102758,24.456628863828296
17.47498810628513,20.587201110302,23.27988347458126
19.961163618241695,21.803593869186777,24.363768220877002
18.967942094611036,21.60613507725931,24.176245994541123
18.62472859444639,21.958896780404153,24.805319826305173
20.156367869122576,22.640350408935884,25.343409899762783
20.482536533708902,24.084985119852014,27.38102709053027
23.738376027086773,26.11292900989996,27.85196166742011
23.245857489400553,24.30400665466274,25.46863429254773
19.6965666097442,22.4798274759415,25.29407566228136
18.165167253593594,22.159530907948,25.892319316403526
20.125596687654117,23.23934932048748,27.65332851469452
21.88375123154791,23.636805489054897,25.322525284989922
19.738918115016997,22.36926363851319,25.176964180519516
21.00411905631685,22.18514156899595,26.746538696743944
22.598142732290857,23.964512278674253,25.66858125937271
22.251029071519454,24.240036036630922,25.501978547605937
18.511715996308887,22.965618782124075,26.147541273805917
18.861305701416736,21.398708192681493,24.632931076471426
23.920606957704134,24.90808497244866,25.941955462003026
20.842377753446332,23.285724496582155,25.535896813144873
22.639985208152673,25.291667036378158,27.42586539990157
22.25950557555144,23.52749749761837,24.947169772711813
19.10317567806371,21.564798721236112,26.948796693252362
17.156172338363824,20.779713340933764,24.21252012314468
18.27355403631457,22.695400359522782,25.756141950585498
21.991980611511675,24.061614934014198,24.93448637629174
22.488488588872322,24.10279569979302,24.975976368621996
19.786811299241048,22.501938330932905,25.852382941470715
21.215699483873763,24.489134690055778,27.41067970085482
21.104912175261116,22.889305457349696,24.621142816403488
20.347457329655718,22.719143697468414,25.87571358339638
22.042464312531987,24.292144253240842,26.432606416065973
22.906682641033548,23.293732239392035,23.40421825887101
18.48380440340168,22.218398633046004,26.51029487210171
23.31435770363151,24.93239447981692,26.277948988352367
21.34857600816562,24.40125583386854,25.991794329592366
22.557702350561062,25.58496067318659,28.200162327086556
20.360774774543902,22.72651481455048,24.84362060660512
20.87532305150324,23.507426825008313,25.24557338040527
18.338552587756727,21.19130325616228,23.39327589804017
22.386301669226782,24.568794048022088,25.378626870108913
22.317465713835613,24.008964964195624,25.65537222596946
18.3250694013379,24.109737923423324,28.78358100834603
22.701540469035592,23.785756059026266,24.729565305198346
17.586966780257693,22.528865145906344,27.75735077717567
17.786151390825186,20.58091117778479,23.581985211413677
18.594912932422222,23.299571692217395,27.40837118205959
