R,G,B,clust
19.21410954543414,21.647856900060575,24.66031665118729,1
21.687578665295515,24.3624070651406,26.928105593053598,0
21.7781963997857,24.2445100387783,25.826749518269537,0
17.188828651153052,22.132985022157246,28.424181325252523,2
22.137154727334163,23.901324338836737,25.891441030542943,0
19.230299311340666,24.24263147188488,28.55034776771763,2
22.155896070476462,23.02812319150941,25.18455393368943,0
18.28471808878348,21.606110241354266,24.980190399931026,1
19.79104417344927,22.188340926763846,25.65865570713065,1
23.5358964666732,24.902761926835545,26.186521855214107,3
20.74198207026459,23.58396767141188,25.820303185303384,0
20.774334552430087,23.6696780140812,26.636016591856773,0
25.67126546567725,25.789888041512988,25.598161795223657,3
21.60036655019357,22.812174818417223,24.32554319274212,0
22.01741694399866,25.0780752144322,27.88663570409218,3
22.97946822666418,25.09997586317125,26.952882512115483,3
21.590357771013327,24.1731571805365,25.30684090986521,0
20.198576454480268,23.24257852789626,27.483167193605503,2
21.877149324462405,24.01612134142268,25.311708992240984,0
19.84334555849119,23.99756418045003,27.03470063580513,2
21.68620593021936,24.257817732596504,26.38153980161342,0
21.83524779779872,23.18777017614364,24.24700603504692,0
20.578224381522634,22.25116335997453,24.37590978457013,1
19.732454017278503,24.752130764458723,29.798795696223667,2
15.551499132190475,19.531001895075494,23.442644546289475,4
22.690539800935746,24.50755592311033,25.815526075186888,0
17.82778786997216,20.46838837463416,24.07873206749765,4
20.164715306087952,23.190273121453103,25.660634531979856,1
22.347341169873054,24.04209771347756,25.227516819160478,0
19.836749132942572,23.06183846767682,25.061704648678365,1
22.847825278298533,24.98410338177637,26.48748420080466,0
21.02195456318739,23.48083304985362,25.89452116835442,0
19.87583310619905,22.404210728147035,25.185910399149822,1
18.53591222177257,23.0550509355296,27.00357638315696,2
19.542368007493614,23.567293356554995,27.08041790056132,2
20.72826163221749,23.62490458608537,27.034709302562643,2
23.114728726695606,24.824591095390875,28.542238334500595,3
20.195964121110485,23.11913059771688,25.71047053969569,1
19.380864695067736,22.07374617916673,25.44343343497112,1
21.20424365671675,24.32789408812484,27.09460464254424,0
20.940187475574923,25.185894222801515,28.337344944459897,2
21.86017368573437,23.08317644565056,23.76624521626434,0
20.03172179803512,23.761653632631887,27.148716399006485,2
19.79185194186031,21.72367968173869,23.313996187727565,1
21.160824503382752,23.852196464293552,25.662080055507072,0
19.31986394107116,22.273693442924376,24.364632409717192,1
17.05300069334876,22.16172749708417,27.265157460315898,2
16.944389986480186,21.933852099386133,25.798862351697338,4
14.930441916017884,17.951307843517156,21.61952233461937,4
20.73293776488428,22.778921490091296,24.61677436397216,1
19.682719144436383,21.63878698666837,27.700870745694164,2
18.803104019782012,22.280169743123583,25.53988097603416,1
20.460226926229836,22.299822958192653,24.38226965983208,1
18.794170687344486,21.42068248953941,25.013856861226625,1
18.343162986803463,22.492506325573125,26.561872815633063,2
21.11554680841739,24.407621424180395,26.470088586181507,0
19.64773196109288,24.16292612638964,28.13047635304454,2
21.4852683621831,22.90595681452533,24.26819892457731,0
17.566951366650265,21.42800136402484,26.95099846967228,2
20.315186698529956,22.462744669112837,23.71591634685792,1
22.66940347503237,25.78033901306719,27.94851295532068,3
20.52444174011829,23.267745892123123,26.172223814012582,2
21.795927200455527,24.054986621587943,25.588256612834492,0
25.900601725214774,23.70522004850517,22.90280166646693,0
21.23214678088258,23.352857593412537,26.249392935928384,0
21.713457823109053,23.112917500882133,25.66234559587081,0
20.242403334816128,22.217160438654425,23.86174169693709,1
17.862804517672803,21.99957268635836,26.83651134049155,2
22.615548028192368,25.856169738605427,28.62132158563382,3
20.62408397517622,23.385998302095786,25.723758733591712,0
23.9303580488194,25.77896853792625,28.264727751399665,3
21.80063197975061,23.665061844030998,25.41301169213894,0
17.2618199735757,21.843477320228416,26.35557392259844,1
22.857723499746527,24.51812295604483,25.56418796254948,0
22.525662658103133,25.275348701823017,27.28005528283513,3
17.585783996075204,23.87170898819192,28.35260810512127,2
21.011737154255197,24.168855048709,26.324915946920715,0
20.765278826346734,23.33382882224323,25.814855637691725,0
18.84991802174056,22.07199118727726,24.15880710959763,1
20.10691542698189,23.46116521435079,26.56118447748797,2
20.31521508412289,23.29325243965759,25.39327221197537,1
21.412367929125004,23.178253041741566,25.79330221119154,0
20.51366570939472,22.93839428507614,25.334760491159454,1
21.592466638277124,24.645007971609385,27.16035004686589,0
19.13450720976773,21.70454252313568,23.707254297896014,1
19.618847411237542,18.834887301932213,24.665630253670944,4
20.376698041462408,22.81219823973863,24.95211986644709,1
23.17519598566069,26.25153064358642,26.700091275890728,3
24.90451387640069,25.69259584549265,25.47232650823321,3
23.246074245019702,24.91430302000713,26.760667874451965,3
16.829165058021196,21.545758392446444,26.54940401520069,4
21.80035872002827,23.476023564512012,24.17975898192728,0
24.13672571371384,25.28821644864523,26.17219134336724,3
23.576754608232065,26.203867255033963,28.623197845453824,3
17.9983123314302,22.05257652489809,25.43361669511951,1
17.278463194784077,21.17626064694347,24.967595099687696,4
20.728412204573186,24.014252018903512,26.78901919135252,2
21.04038579643299,23.8321555187122,26.564403795688584,0
23.04408929783385,24.69493092757974,26.164359401404987,0
18.05554954086651,21.8069752373466,25.15759045209793,1
22.36460138409238,25.162690511028835,27.477633974669807,3
19.27267601976684,23.73271649719097,26.67786491088009,2
20.87636216274416,22.98415779645144,24.389107875151787,1
20.455268181721397,23.38666768684353,25.90804323607493,0
22.086016040015178,23.690961841890445,24.37501500614797,0
20.56219973082233,23.54579458008399,27.69963143515221,2
20.41298607614913,23.710947231417645,26.841406501461755,2
21.602045587664424,23.82493291078499,26.238631668447308,0
20.75375265297584,22.9949331087788,25.488333604132517,1
22.687005985242035,24.205056232090616,26.0338920200133,0
23.17697879750455,24.452192768440188,25.895826083265565,0
24.755701941617,29.374461418215,33.03130028857519,3
20.00640773547597,23.904063516129675,27.832371231578943,2
27.22447319151282,28.96206745438738,28.91635561744128,3
19.37897754160917,22.69409786041665,26.67972499380365,2
22.74025928185405,24.41754022317064,28.18244011858554,3
22.329265178839837,23.77005289327733,24.63028284338782,0
19.375988426329243,23.16014716564156,26.263084797471645,2
20.490833244931817,23.96190356711564,26.606186630309185,2
19.850931532684616,22.177194299859195,24.029771091292204,1
22.453143433454656,24.53167328272662,26.12506531053294,0
18.395413773346053,23.027751328336876,27.70488039190382,2
20.800691127135583,24.460051201040248,27.55856383465112,2
16.74115910621368,20.526673042518205,24.26647809197005,4
22.880480211801835,25.10702655371319,26.612047728145903,3
