,name,address,sort,menu,mean_price,score,people_give_score,review_count,review_list
0,금성관나주곰탕,서울 중구 남대문로 29 (우)04526,곰탕,"나주곰탕,(특) 나주곰탕,갈비탕,꼬리곰탕,꼬리전골 (중),수육 (소)",20333,3.6,25,111,
1,남대문명물호떡,서울 중구 남대문로 24 (우)04529,간식,"잡채호떡,해물잡채호떡,김치잡채호떡,꿀호떡,단팥찹쌀호떡,영양단팥찹쌀호떡",1416,3.4,10,29,
2,명동칼국수남문교자,서울 중구 남대문시장길 37 한일빌딩 지하1층 (우)04529,국수,"칼만두,칼국수,왕만두,만두국,떡만두국",7400,3.8,13,17,
3,통일옥 본점,서울 중구 남대문시장길 31-20 2층 (우)04529,"사철탕,영양탕","전골 (1인분),무침 (1인분),목살,배바지,짝갈비",24000,2.8,4,7,
4,카페파인,서울 중구 남대문로 23 1층 (우)04526,카페,"에스프레소,아메리카노,카페라떼,플랫화이트,허니 캐모마일(ICE)",4400,4.5,11,3,
5,이디야커피 한국은행점,서울 중구 남대문로 29-2 (우)04526,이디야커피,표기안함,표기안함,3.0,2,3,
6,맛있는삼겹살,서울 중구 남대문시장길 37 (우)04529,삼겹살,"삼겹살 (1인),고추장삼겹살 (1인)",12500,4.3,20,43,
7,양미옥,서울 중구 남대문로 27-2 1~3층 (우)04526,"육류,고기",표기안함,표기안함,0.0,0,0,
8,깡돈,서울 중구 남대문로 17 (우)04526,한식,"대구막창(180g),뒷고기(180g),덜미살(180g),삼겹살(180g),소갈비살(500g)",13600,5.0,2,1,
