,name,address,sort,menu,mean_price,score,people_give_score,review_count,review_list
0,밀양돼지국밥,서울 서대문구 서소문로 55-9 (우)03741,국밥,"국밥,수육 (대),수육 (중),수육 (소),연탄석쇠불고기 (2인분)",17200,2.8,5,14,
1,비진도해물뚝배기 충정로본점,서울 서대문구 서소문로 53 벤쳐빌딩 1층 (우)03741,"해물,생선","해물뚝배기,전복뚝배기,전복뚝A+,전복가득뚝,해물뚝배기",15200,3.7,7,10,
2,낟더쌔임,서울 서대문구 서소문로 61 1층 (우)03741,카페,"아메리카노,호주리카노,카페라떼,얼그레이 밀크티 (ICE),자몽얼그레이티",4000,4.7,16,50,
3,독박골맛있는집,서울 서대문구 서소문로 61-7 (우)03741,한식,"삼겹살,가지찜,황태구이,바지락탕,황태전골",16600,3.3,3,11,
4,해구 본점,서울 서대문구 서소문로 37 충정로대우디오빌 1층 106호 (우)03741,"해물,생선","해구인당,해구모듬(대),해구모듬(중),해구해산물,비단멍게,해삼,낙지,멍게삼총사",41333,4.5,2,0,
5,맛있는중식차이리,서울 서대문구 서소문로 43-45 오키로키친 2층 C-6호 (우)03741,중식,"마라짬뽕,고기와 해물,마라탕 재료가 들어간 얼큰하고 화한 짬뽕,9,000,11,000,김치치즈탕수육(S),마라팔보채(S)",20333,5.0,2,0,
6,나무야,서울 서대문구 서소문로 43-22 (우)03741,카페,"아메리카노(HOT),카페라떼(HOT),녹차(HOT),플레인요거트스무디,브라우니",4300,0.0,0,2,
7,더파스타 충정로점,서울 서대문구 서소문로 37 1층 (우)03741,양식,"떠먹는 라자냐,더토마토,새우로제",12900,4.0,3,6,
8,카페 키푸카,"서울 서대문구 서소문로 43-10 1,2층 (우)03741",카페,"아메리카노,카페라떼,카푸치노,쇼콜라,말차라떼",4780,4.0,1,10,세련된 그림들과 인테리어가 너무 이뻐요. 아인슈페너의 크림이 진짜 부드럽고 맛있네요. 
