,name,address,sort,menu,mean_price,score,people_give_score,review_count,review_list
0,신성각,서울 마포구 임정로 55-1 (우)04190,중화요리,"자장면,간짜장,만두,탕수육",7500,3.2,65,74,
1,우가촌설렁탕,서울 마포구 백범로 205 101동 상가 (우)04194,설렁탕,"설렁탕,특설렁탕,갈비탕,수육,모듬수육",19800,3.6,7,28,
2,오타루,서울 마포구 만리재옛길 32 1층 (우)04209,"초밥,롤","스시 (디너),사시미 (디너),스시세트 (런치),스시 오마카세 (런치)",39250,4.1,34,45,
3,공덕닭발왕,서울 마포구 만리재옛길 24-1 (우)04209,닭요리,"치즈 무뼈닭발,국물 닭발+숙주,직화 무뼈닭발,직화 통닭발,직화 오돌뼈",16200,4.4,5,85,
4,한스 공덕점,서울 마포구 백범로 202 (우)04196,한스,"생크림(대),생크림(소),초코딸기생크림(대),초코딸기생크림(소),가나슈(대),가나슈(소)",42833,2.6,28,38,"유통기한 3시간 남은걸 고지도 없이 주는건 무슨 경우인지요?/케이크는 맛있지만 가격이 너무 비싸요./롤케이크 맛집임 딸기 안 들어간 건 다팔리고 없어서 딸기 들어간 거 사야했음 근데 좀 비쌈 근데 좀 맛있음/딸기케익 맛있어요! /주말에 왔는데 여자 직원분들만 계셨고 댓글에 남직원 욕 많던데.. 여자분들은 충분히 친절하신듯해요~~ 마음 편안 ☺️/초심을 잃은것 같아요~~ 오픈때부터 지금까지 1년에 10번가량 이 곳에서 케익을 먹고있는데 특히 9월이면 저희가족 생일이 몰려있어서 이번에도 3번 먹었는데.. 정말 최악이었어요 케익과 생크림이 완전 따로 놀고있어서 툭툭 떨어지고 케익도 완전 퍽퍽해서 2-3일 나가지 않은걸 팔고있나 의심 할 정도 입니다.~~ 굳이 여기를 이용해야하나 ~~!!/가성비최악 가격에걸맞는 케익을 파세요/오늘은 조금 신경써서 케이크를 사고 싶을 때./그래도 한스./리뷰댓글에 알바생얘기가 너무 심하길래 어떤지 가봤어요~  말 그대로네요~ 남알바생 왜그렇게 싸가지가없이 구는지 이해가 안되네요~ /가격값하는 맛/진짜 한스케잌은 갈 때마다 기분이 더러워져서 나오네요 알바생들 좀 제발 바꾸시죠? 오늘 포스 보던 여자분 말투 좀 싸가지있게 하세요 대체 어떻게 포스를 맡고 계신건지 모르겠는데 손님한테 대하는 태도가 참;; 그리고 저번에는 9시 50분쯤 케잌 사러가니깐 이미 마감했다고 못산다는 경우는 뭡니까? 영업시간 10시까지 아니에요? 더 잘되려면 직원 교육 제대로 좀...더보기/맛있어요. 직원은 다 해고하고 새로 뽑아야될듯 합니다.. /가게가 인기많고 유명하다고 알바들이 유세 떰/한스공덕점 정직원 손님응대 교육 다시 받으세요.손님이 케익살때 반품안되면 안된다고    말로 고지해야하는데 턱으로 저기 써있다고 하는게 말이 됩니까.케익은 맛있을지 모르지만 기본 매너도 갖춰주길 바랍니다./알바생 불친절.. 자기맘대로 케익이랑 초 따로 계산. 당연히 합산결제인줄 알았는데 다음날 결제내역을 보고 따로 계산된줄 알았다. 섬세한 배려가 부족한 곳/분위기도 괜찮고 조용해요. 디저트가 맛있는 집. 서비스쪽으로 댓글이 많은데 , 특별히 흠잡을 것 없었음./여자 직원분 어려보이시는데 완전 친절! 감사해요!/직원 불친절함/직원 교육 안 시킴??"
5,황인상브레드,서울 마포구 백범로 199 메트로디오빌 1층 104호 (우)04195,"제과,베이커리","플레인 (S),메이플 (S),삼색 (S),얼그레이 (S),아메리카노,카페라떼",6500,4.2,26,22,
6,숭례문떡과기름 본점,서울 마포구 만리재옛길 14 1층 (우)04209,"떡,한과","콩설기,쑥설기",1800,4.4,7,36,
7,해미소참치 마포공덕직영점,서울 마포구 백범로 202 (우)04196,참치회,"해참치,우참치,리참치",57333,3.7,9,11,
8,진시황북어국,서울 마포구 백범로 199 메트로디오빌 105호 (우)04195,한식,"북어국,황태곰탕,황태막국수,황태막국수곱빼기,얼큰북어국",9000,4.6,16,60,
