,name,address,sort,menu,mean_price,score,people_give_score,review_count,review_list
0,홍연집,서울 성북구 삼선교로 44 (우)02863,참치회,"연어참치한판 (500g),연어한판 (500g),참치한판 (500g),참치 고급 한판 (380g)",37500,4.4,10,5,
1,꽁상뜨레,서울 성북구 삼선교로 62 1층 (우)02863,카페,"아메리카노,라떼,아인슈페너,샹스,비가라드,라란자",5166,5.0,4,18,
2,운봉칼국수,서울 성북구 삼선동3가 116 삼선SK뷰아파트 상가 1층,국수,"손칼국수,보쌈정식,보쌈 (대),보쌈 (중)",16750,5.0,1,6,
3,델리35,서울 성북구 삼선교로16길 35 (우)02863,카페,"아메리카노,카페라떼,카페모카,바닐라라떼,헤이즐넛라떼",3980,5.0,1,2,
4,비에이지,서울 성북구 보문로29다길 7 삼선푸르지오상가 106호 (우)02869,카페,표기안함,표기안함,4.5,2,0,
5,본테(bonte),서울 성북구 보문로29길 93 (우)02870,카페,"레몬 파운드 케이크,바닐라 휘낭시에,흑임자 휘낭시에,인절미 휘낭시에,에그타르트",2700,5.0,4,2,
6,부엔까미노,서울 성북구 삼선교로16길 35 (우)02863,카페,표기안함,표기안함,5.0,2,0,
7,성북동파스타,서울 성북구 삼선동3가 116 삼선sk뷰아파트 상가 102호,이탈리안,"추천,12,000,추천,13,000,페스카토레(이탈리아어 '어부')크림 파스타,고소한 크림과 신선한 각종 해산물의 부드럽고 향긋한 파스타,12,000,까르보나라,고소고소한 베이컨에 크림과 녹진한 노른자의 부드러움을 함께 맛보세요.,10,000",11000,5.0,2,1,
8,도깨비 분식,서울 성북구 보문로29길 78-1 (우)02863,분식,표기안함,표기안함,0.0,0,0,
