기간,자치구,법정동,토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별)
기간,자치구,법정동,합계,전,답,과수원,목장용지,임야,대지,공장용지,학교용지,주차장,주유소용지,창고용지,도로,철도용지,제방,하천,구거,유지,수도용지,공원,체육용지,유원지,종교용지,사적지,묘지,잡종지
2021,종로구,관훈동,"73,374.0",-,-,-,-,-,"56,815.5",-,-,-,-,-,"15,271.5",-,-,-,"1,287.0",-,-,-,-,-,-,-,-,-
2021,종로구,견지동,"46,356.7",-,-,-,-,-,"28,772.3",-,-,-,-,-,"15,098.7",-,-,-,607.5,-,-,-,-,-,"1,878.2",-,-,-
2021,종로구,와룡동,"707,460.7",-,-,-,-,"5,596.2","34,458.5",-,-,-,217.1,-,"29,375.1",-,-,"1,420.8",620.4,-,-,-,-,-,-,"635,772.6",-,-
2021,종로구,권농동,"34,394.9",-,-,-,-,-,"15,202.7",-,-,-,-,-,"10,951.1",-,-,49.6,290,-,-,"7,901.5",-,-,-,-,-,-
2021,종로구,운니동,"69,916.0",-,-,-,-,-,"56,822.8",-,-,-,-,-,"13,040.3",-,-,-,52.9,-,-,-,-,-,-,-,-,-
2021,종로구,익선동,"46,498.2",-,-,-,-,-,"38,375.7",-,-,-,-,-,"7,491.2",-,-,-,631.3,-,-,-,-,-,-,-,-,-
2021,종로구,경운동,"57,151.9",-,-,-,-,-,"25,648.3",-,"9,136.0",-,543.3,-,"16,987.0",-,-,-,818.5,-,-,-,-,-,"4,018.8",-,-,-
2021,종로구,관철동,"80,572.8",-,-,-,-,-,"46,467.5",-,-,-,-,-,"27,794.0",-,-,"4,734.9",239.6,-,-,"1,336.8",-,-,-,-,-,-
2021,종로구,인사동,"69,726.6",-,-,-,-,-,"44,027.2",-,-,-,-,-,"16,873.7",-,-,-,"1,062.1",-,-,"1,979.8",-,-,"5,783.8",-,-,-
2021,종로구,낙원동,"73,125.3",-,-,-,-,-,"51,929.5",-,-,-,-,-,"18,973.5",-,-,-,"1,556.8",-,-,-,-,-,665.5,-,-,-
2021,종로구,종로2가,"59,331.0",-,-,-,-,-,"16,969.2",-,-,-,-,-,"29,351.9",-,-,-,505.6,-,-,"1,412.0",-,-,-,"11,092.3",-,-
2021,종로구,팔판동,"41,466.5",-,-,-,-,-,"27,064.0",-,-,-,-,-,"11,473.3",-,-,"1,927.3",54.9,-,-,-,-,-,947,-,-,-
2021,종로구,삼청동,"1,186,746.9",-,-,-,-,"953,128.1","187,600.5",-,"3,965.5",331.6,-,-,"30,297.3",-,-,"8,243.4","2,305.2",-,-,-,-,-,819.8,-,-,55.5
2021,종로구,안국동,"68,134.1",-,-,-,-,-,"33,176.9",-,"23,159.9",-,-,-,"9,420.9",15.6,-,-,260.4,-,-,-,-,-,"2,100.4",-,-,-
2021,종로구,소격동,"61,326.9",-,-,-,-,-,"50,730.9",-,-,-,-,-,"7,991.1",-,-,"2,585.1",19.8,-,-,-,-,-,-,-,-,-
2021,종로구,화동,"58,288.9",-,-,-,-,-,"51,560.5",-,-,-,-,-,"6,038.4",-,-,541.3,148.7,-,-,-,-,-,-,-,-,-
2021,종로구,사간동,"28,910.0",-,-,-,-,-,"23,771.8",-,-,-,-,-,"3,210.8",-,-,"1,190.1",-,-,-,-,-,-,737.3,-,-,-
2021,종로구,송현동,"45,484.9",-,-,-,-,-,"37,082.0",-,-,-,-,-,"8,045.9",-,-,-,357,-,-,-,-,-,-,-,-,-
2021,종로구,가회동,"158,099.4",-,-,-,-,"3,378.5","118,133.6",-,"8,224.3",336.1,-,-,"27,888.1",-,-,-,138.8,-,-,-,-,-,-,-,-,-
2021,종로구,재동,"53,276.0",-,-,-,-,-,"37,935.0",-,"2,505.6",-,-,-,"12,548.8",-,-,-,286.6,-,-,-,-,-,-,-,-,-
2021,종로구,계동,"173,819.1",-,-,-,-,"18,814.0","82,714.1",-,"55,357.9",-,-,-,"16,058.4",-,-,-,874.7,-,-,-,-,-,-,-,-,-
2021,종로구,원서동,"156,195.9",-,-,-,-,"45,044.0","64,535.9",-,"7,626.2",51.3,-,-,"15,852.1",-,-,-,"1,965.2",-,-,"2,304.7",-,-,-,"18,816.5",-,-
2021,종로구,훈정동,"206,168.9",-,-,-,-,-,134.9,-,-,-,-,-,"2,880.5",-,-,-,105.8,-,-,"19,051.0",-,-,-,"183,996.7",-,-
2021,종로구,묘동,"30,711.5",-,-,-,-,-,"17,315.1",-,-,-,-,-,"12,632.4",73.1,-,-,690.9,-,-,-,-,-,-,-,-,-
2021,종로구,봉익동,"39,241.1",-,-,-,-,-,"25,391.2",-,-,-,-,-,"8,319.0",-,-,-,695.2,-,-,"4,835.7",-,-,-,-,-,-
2021,종로구,돈의동,"32,535.8",-,-,-,-,-,"24,848.0",-,-,274.5,-,-,"6,520.7",-,-,-,892.6,-,-,-,-,-,-,-,-,-
2021,종로구,장사동,"57,515.3",-,-,-,-,-,"36,339.1",-,-,-,-,-,"13,754.3",-,-,"5,121.6",233.5,-,-,"2,066.8",-,-,-,-,-,-
2021,종로구,관수동,"60,459.6",-,-,-,-,-,"42,640.7",-,-,-,-,-,"13,114.7",-,-,"4,205.0",499.2,-,-,-,-,-,-,-,-,-
2021,종로구,종로3가,"44,654.3",-,-,-,-,-,"14,098.6",-,-,-,-,-,"17,975.6",-,-,-,"9,312.5",-,-,"3,267.6",-,-,-,-,-,-
2021,종로구,인의동,"82,690.1",-,-,-,-,-,"56,022.9",-,-,-,-,-,"19,034.8",-,-,-,"1,173.9",-,-,"6,458.5",-,-,-,-,-,-
2021,종로구,예지동,"68,625.7",-,-,-,-,-,"42,457.2",-,-,-,-,-,"20,134.5",-,-,"5,530.3",342.5,-,-,161.2,-,-,-,-,-,-
2021,종로구,원남동,"74,095.3",-,-,-,-,-,"46,079.8",-,942.1,-,-,-,"25,905.3",-,-,-,237.8,-,-,-,-,-,930.3,-,-,-
2021,종로구,연지동,"111,716.0",-,-,-,-,-,"89,217.0",-,-,86,-,-,"18,764.1",-,-,-,347.1,-,-,"3,301.8",-,-,-,-,-,-
2021,종로구,종로4가,"43,120.8",-,-,-,-,-,"16,018.2",-,-,-,-,-,"24,070.8",-,-,-,640.9,-,-,"2,390.9",-,-,-,-,-,-
2021,종로구,효제동,"100,304.3",-,-,-,-,-,"59,301.9",-,"16,712.0",-,-,-,"21,973.8",-,-,"2,280.5",36.1,-,-,-,-,-,-,-,-,-
2021,종로구,종로5가,"111,536.0",-,-,-,-,-,"58,039.3",-,-,55.5,-,-,"42,036.8",-,-,"9,727.4","1,677.0",-,-,-,-,-,-,-,-,-
2021,종로구,종로6가,"151,927.6",-,-,-,-,-,"74,489.0",-,-,327.3,-,-,"46,301.1",443.8,"1,411.6","6,993.7","2,012.2",-,-,"12,961.9",-,-,"3,644.2","3,342.8",-,-
2021,종로구,이화동,"122,431.7",-,-,-,-,-,"71,616.4",-,"12,810.2","2,046.8",-,-,"24,253.0",-,-,"1,937.2","1,060.0",-,-,"8,708.1",-,-,-,-,-,-
2021,종로구,연건동,"295,241.4",-,-,-,-,-,"152,624.6",-,"94,993.9",307.4,-,-,"43,125.8",-,-,"4,083.9",105.8,-,-,-,-,-,-,-,-,-
2021,종로구,충신동,"128,023.3",-,-,-,-,211.3,"89,335.4",-,-,-,-,-,"34,296.5",-,-,"1,121.3","1,346.7",-,-,"1,467.5",-,-,244.6,-,-,-
2021,종로구,동숭동,"365,307.9",-,-,-,-,"58,649.9","178,712.5",-,"56,092.3","1,194.8",-,-,"52,418.4",-,-,"1,890.9","6,179.8",-,-,"7,573.2",-,-,"2,596.1",-,-,-
2021,종로구,혜화동,"324,350.3",-,-,-,-,"13,140.8","144,721.9",-,"97,743.0",80,627.7,-,"57,945.7",-,-,-,"3,248.4",-,24.3,-,-,-,"6,818.5",-,-,-
2021,종로구,명륜1가,"193,340.1",-,-,-,-,"10,248.4","117,439.0",-,"24,763.1","2,012.1",-,-,"28,565.4",-,-,-,"2,153.2",-,60.9,"5,615.3",-,-,"2,482.7",-,-,-
2021,종로구,명륜2가,"108,495.9",-,-,-,-,-,"81,974.7",-,-,113.1,-,-,"23,693.5",-,-,-,"2,122.1",-,-,-,-,-,592.5,-,-,-
2021,종로구,명륜4가,"74,744.9",-,-,-,-,-,"50,711.8",-,"4,007.9",125.6,-,-,"16,046.1",-,-,"1,305.8",925.3,-,-,-,-,-,"1,622.4",-,-,-
2021,종로구,명륜3가,"414,470.5",-,-,-,-,"100,934.6","170,790.8",-,"111,283.3",651.7,-,-,"26,403.3",-,-,-,"3,698.0",-,-,-,-,-,515.8,193,-,-
2021,종로구,창신동,"779,623.3",-,-,-,-,"26,052.0","537,445.8",-,"25,696.8","2,775.6",-,-,"122,275.6",251.6,"7,075.8","21,844.6","9,049.0",-,-,"16,454.6",-,-,"8,587.3",353.7,-,"1,760.9"
2021,종로구,숭인동,"595,558.1",112.5,-,-,-,"11,038.9","370,182.4",-,"13,750.0","1,933.1",-,-,"129,419.4",-,"2,459.5","11,550.7","7,346.4",-,-,"33,612.0",-,-,"3,868.5","9,332.3",-,952.4
2021,종로구,교남동,"22,303.9",-,-,-,-,-,"12,722.5",-,-,-,-,-,"8,790.1",-,-,224.3,-,-,-,448.4,-,-,-,-,-,118.6
2021,종로구,평동,"80,527.3",-,-,-,-,-,"60,750.8",-,-,-,-,-,"18,373.4",-,-,324.8,25.1,-,-,"1,053.2",-,-,-,-,-,-
2021,종로구,송월동,"44,554.5",-,-,-,-,-,"25,222.7",-,-,-,-,-,"8,208.5",-,-,14.4,-,-,-,"8,836.3",-,-,"2,224.0",48.6,-,-
2021,종로구,홍파동,"41,740.9",-,-,-,-,-,"34,156.8",-,-,-,-,-,"3,643.6",-,-,-,-,-,-,"3,239.2",-,-,701.3,-,-,-
2021,종로구,교북동,"29,996.3",-,-,-,-,-,"14,397.2",-,-,-,-,-,"15,455.7",-,-,-,143.4,-,-,-,-,-,-,-,-,-
2021,종로구,행촌동,"129,410.6",-,-,-,-,360.1,"69,051.0",-,"13,916.0",575.3,-,-,"37,079.9",-,-,-,526.2,-,-,"6,937.0",-,-,965.1,-,-,-
2021,종로구,구기동,"3,710,703.7","298,622.0",-,-,-,"2,842,481.0","381,495.6",-,"13,522.0",-,-,-,"65,223.1",-,-,"39,504.0","19,495.0",-,-,"1,224.0",-,-,"19,108.0",-,"1,038.0","28,991.0"
2021,종로구,평창동,"5,154,552.4","123,679.0",-,-,-,"3,408,033.2","1,197,676.1",-,"25,146.0",-,"1,867.0",-,"231,143.3",-,-,"79,788.2","23,419.0",-,-,"29,573.6",-,-,"13,684.0",-,"9,963.0","10,580.0"
2021,종로구,부암동,"1,547,704.0","304,451.0",-,-,-,"629,891.0","436,743.0",-,-,237,"1,561.0",-,"96,189.0",-,-,-,"23,123.0",-,-,283,-,-,"1,782.0",-,-,"53,444.0"
2021,종로구,홍지동,"356,755.0","39,289.0",-,-,-,"38,122.0","130,497.0",-,"93,499.0",-,541,-,"30,433.0",-,-,"10,243.0","4,676.0",-,-,-,-,-,"3,391.0",-,-,"6,064.0"
2021,종로구,신영동,"361,252.1","34,141.0",-,-,-,"78,602.0","171,299.7",-,"7,574.0",-,-,-,"40,444.4",-,-,"25,974.0",93,-,-,-,-,-,985,40,-,"2,099.0"
2021,종로구,무악동,"362,555.9",-,-,-,-,"165,658.5","150,321.3",-,"4,963.5",220.4,-,-,"36,467.5",-,-,-,"1,131.8",-,-,"3,792.9",-,-,-,-,-,-
2021,중구,소계,"9,960,262.0",-,-,-,-,"1,285,766.0","5,298,923.2","4,359.6","394,066.8","27,141.6","7,647.4",-,"2,137,400.5","122,766.1",-,"29,443.2","14,669.9",-,"28,260.6","455,080.1","25,315.0",-,"112,358.1","10,897.9",-,"6,166.0"
2021,중구,무교동,"32,184.5",-,-,-,-,-,"19,140.0",-,-,-,-,-,"12,474.3",-,-,-,-,-,-,570.2,-,-,-,-,-,-
2021,중구,다동,"58,770.1",-,-,-,-,-,"36,022.4",-,-,-,-,-,"19,614.5",-,-,-,-,-,-,"3,070.4",-,-,-,-,-,62.8
2021,중구,태평로1가,"74,327.5",-,-,-,-,-,"44,891.8",-,-,-,-,-,"28,596.2",-,-,-,-,-,-,-,-,-,-,-,-,839.5
2021,중구,을지로1가,"62,451.4",-,-,-,-,-,"37,906.1",-,-,-,-,-,"24,545.3",-,-,-,-,-,-,-,-,-,-,-,-,-
2021,중구,을지로2가,"112,470.5",-,-,-,-,-,"71,881.0",-,-,-,-,-,"39,681.3",-,-,-,-,-,-,908.2,-,-,-,-,-,-
2021,중구,남대문로1가,"19,106.2",-,-,-,-,-,"4,405.6",-,-,-,-,-,"14,700.6",-,-,-,-,-,-,-,-,-,-,-,-,-
2021,중구,삼각동,"27,259.9",-,-,-,-,-,"11,661.8",-,-,833.1,-,-,"12,544.0",-,-,-,-,-,-,"2,221.0",-,-,-,-,-,-
2021,중구,수하동,"18,360.8",-,-,-,-,-,"14,705.8",-,-,-,-,-,"3,340.2",-,-,-,-,-,-,314.8,-,-,-,-,-,-
2021,중구,장교동,"33,982.7",-,-,-,-,-,"18,567.7",-,-,-,-,-,"15,244.0",-,-,-,-,-,-,171,-,-,-,-,-,-
2021,중구,수표동,"35,130.3",-,-,-,-,-,"23,062.1",-,-,-,-,-,"11,620.1",-,-,-,-,-,-,448.1,-,-,-,-,-,-
2021,중구,소공동,"82,318.9",-,-,-,-,-,"58,910.1",-,-,"1,099.0",-,-,"18,772.6",-,-,-,-,-,-,-,-,-,-,"3,537.2",-,-
2021,중구,남창동,"138,532.1",-,-,-,-,-,"76,474.9",-,-,370.3,-,-,"45,638.3",13.2,-,-,-,-,-,"11,387.5",-,-,"4,647.9",-,-,-
2021,중구,북창동,"44,298.4",-,-,-,-,-,"35,924.4",-,-,-,-,-,"8,374.0",-,-,-,-,-,-,-,-,-,-,-,-,-
2021,중구,태평로2가,"82,257.1",-,-,-,-,-,"39,445.6",-,-,-,-,-,"42,811.5",-,-,-,-,-,-,-,-,-,-,-,-,-
2021,중구,남대문로2가,"26,561.4",-,-,-,-,-,"5,987.5",-,-,-,-,-,"20,562.1",-,-,-,11.8,-,-,-,-,-,-,-,-,-
2021,중구,남대문로3가,"33,664.1",-,-,-,-,-,"20,240.5",-,-,-,-,-,"13,423.6",-,-,-,-,-,-,-,-,-,-,-,-,-
2021,중구,남대문로4가,"54,834.8",-,-,-,-,-,"29,686.1",-,-,-,-,-,"22,715.6",-,-,-,-,-,-,-,-,-,-,"2,433.1",-,-
2021,중구,남대문로5가,"229,109.7",-,-,-,-,-,"120,896.8",-,-,-,953.1,-,"74,285.6",-,-,-,-,-,-,"32,974.2",-,-,-,-,-,-
2021,중구,봉래동1가,"41,450.1",-,-,-,-,-,"20,180.2",-,-,-,-,-,"20,331.1",938.8,-,-,-,-,-,-,-,-,-,-,-,-
2021,중구,봉래동2가,"129,444.9",-,-,-,-,-,"2,492.5",-,-,-,-,-,"21,154.0","102,833.8",-,-,-,-,-,-,-,-,-,"2,964.6",-,-
2021,중구,회현동1가,"300,856.0",-,-,-,-,"112,087.5","124,217.8",-,-,132.2,-,-,"43,451.8",371.1,-,-,-,-,-,"20,595.6",-,-,-,-,-,-
2021,중구,회현동2가,"70,675.8",-,-,-,-,-,"37,892.3",-,-,753.2,-,-,"31,611.2",-,-,-,-,-,-,-,-,-,-,-,-,419.1
2021,중구,회현동3가,"12,535.9",-,-,-,-,-,"8,954.8",-,-,-,-,-,"3,581.1",-,-,-,-,-,-,-,-,-,-,-,-,-
2021,중구,충무로1가,"59,416.1",-,-,-,-,-,"37,032.0",-,-,-,-,-,"22,384.1",-,-,-,-,-,-,-,-,-,-,-,-,-
2021,중구,충무로2가,"69,365.2",-,-,-,-,-,"42,991.2",-,-,-,-,-,"26,374.0",-,-,-,-,-,-,-,-,-,-,-,-,-
2021,중구,명동1가,"36,922.1",-,-,-,-,-,"29,554.9",-,-,-,-,-,"7,367.2",-,-,-,-,-,-,-,-,-,-,-,-,-
2021,중구,명동2가,"118,030.2",-,-,-,-,-,"59,975.2",-,-,-,-,-,"15,367.0",-,-,-,-,-,-,-,-,-,"42,688.0",-,-,-
2021,중구,남산동1가,"23,091.8",-,-,-,-,-,"18,723.8",-,-,41.3,-,-,"4,326.7",-,-,-,-,-,-,-,-,-,-,-,-,-
2021,중구,남산동2가,"72,800.7",-,-,-,-,458.5,"53,246.0",-,"8,614.0",112.4,-,-,"10,369.8",-,-,-,-,-,-,-,-,-,-,-,-,-
2021,중구,남산동3가,"29,185.7",-,-,-,-,-,"18,011.2",-,-,-,-,-,"9,371.6",-,-,-,-,-,-,-,-,-,"1,669.1",-,-,133.8
