,name,address,sort,menu,mean_price,score,people_give_score,review_count,review_list
0,케이코쇼텐,서울 중구 퇴계로24길 12-1 (우)04629,카페,"블랙커피,핫초콜릿 드링크 스모어,토마토 주스,사과 바나나 스무디,레몬 에이드",6400,3.6,13,67,
1,식당진,서울 중구 퇴계로22길 5 지하1층 (우)04629,일식집,"가츠동,에비동,스테이크동,사케동,가라아게동",9500,3.5,14,15,
2,스타벅스 명동남산점,서울 중구 퇴계로 132 (우)04629,스타벅스,"펀치 그래피티 블렌디드,망고,사과,핑크 구아바,파인애플 등 다양한 열대과일로 만든,스트리트 문화의 대표적인 그래피티 벽화처럼 그려진 컬러 드리즐로,롤린 민트 초코 콜드 브루,스타벅스의 콜드 브루와 은은한 민트 초코 베이스로,손목의 스냅을 춤을 추듯 가볍게 돌려 음료를 섞어서,폼폼 유스베리 티,저녁 하늘의 노을이 물드는 듯한 비주얼의 음료.,,아이스 라벤더 카페 브레베,진한 리저브 에스프레소 샷과 은은한 라벤더향이 고급스럽게 어우러진 부드럽고 세련된 풍미의 라벤더 카페 브레베,5,100,밝고 가벼운 풍미의 블론드 원두로 즐기는,폼폼 민트 티,아침 하늘의 구름이 뭉게뭉게 피어나는 것 같은 비주얼의 음료.,",6880,4.8,10,4,
3,미도리,서울 중구 퇴계로22길 7 (우)04629,일식,"생선회정식,도시락정식,생선초밥,회덮밥,전복죽",23000,4.2,10,3,
4,다미돈까스,서울 중구 퇴계로24길 6-1 (우)04629,"돈까스,우동","왕돈까스,생선까스,김치우동,김치볶음밥,후라이드치킨",8080,4.2,11,11,
5,남산복집,서울 중구 퇴계로 134-1 (우)04629,복어,표기안함,표기안함,0.0,0,0,
6,카페오아시아 남산점,서울 중구 소파로 145 1층 (우)04629,카페,표기안함,표기안함,0.0,0,1,
7,한우마루 명동점,서울 중구 퇴계로24길 8 (우)04629,"육류,고기",표기안함,표기안함,0.0,0,0,
8,원조명동아구찜,서울 중구 퇴계로24길 13-8 지하1층 (우)04629,아구,표기안함,표기안함,5.0,2,0,
