,name,address,sort,menu,mean_price,score,people_give_score,review_count,review_list
0,비스트로 아란,서울 용산구 백범로 324-1 1층 (우)04364,"호프,요리주점","아란 플레이트,아란의 바다 한접시,명란 오믈렛,큰새우 감바스,차돌 국물떡볶이",19000,4.1,7,15,안주도 너무 맛있고 친절하셔서 또 올게요/분위기 좋고 안주도 다 맛 좋았는데 막 와 존맛 이정도 까지는 아니었어요 그래도 만족스러웠어요/다 맛있다.. 서비스도굿/사장님 너무 밝고 친절하세요ㅋㅋㅋ 음식들도 맛있었구요 전부 좋았어요 !/음식 비쥬얼은 좋으나 쏘쏘였어요/웬만하면 다 맛있어요  파스타 잘 하셔요. 혼자서 운영하시는데 요리 겁나 빨리 하시구 퀄리티 좋고 친절하심  간판이 도로변 말고 뒤에 있어서 찾기 힘든 느낌. 그럼에도 불구하고 손님들 많았어요.  술안주 파는 편이고 술 조아하는데 안주 맛있는 거 먹고싶고 분위기 있는 곳에서 먹고싶다면 아란 강추/짜파게티는 별로.
1,두쓰멍,서울 용산구 원효로 210-5 1층 (우)04368,와인바,"치킨 푸아그라 파르페,크래커와 치즈딥,가지구이,가리비 관자,비스큐 새우",12400,3.8,8,20,"병으로만 와인을 판매하는 점이 아쉽다./삼각지에 우후죽순 와인바가 생겼지만 두쓰멍을 따라갈 만한 곳은 없는 거 같아요. 음식도 맛있고 소믈리에의 와인 추천도 믿음직스럽습니다. 다른 곳에서 먹기 힘든 내추럴와인들을 갖추고 있는 점도 좋습니다. /친절한 쉐프, 맛있는 음식, 가성비 좋은 와인을 함께할 수 있는 훌륭한 식당입니다./어린이집, 초등학교, 아파트가 바로 앞에 있는데 레스토랑을 가장한 술집이라고 생각합니다./너무 기대가 컸나봄 ㅠㅠ /너무 좋아요/대구에 있을 때부터 팬이었어요"
2,홀트,서울 용산구 백범로 324 1층 (우)04364,커피전문점,"낙타 쿠키(피넛버터),홀트(halt)의 모든 메뉴는 동물성 원료가 일절 들어가지 않은 비건(vegan) 메뉴입니다.,4,500,5,500,6,000",3800,4.8,19,17,"친환경적인 매장 운영부터 맛 분위기 사장님까지 다 좋아요 :)/공간이 너무 좋아요!!! 건강한 정신 건강한 음식 사장님들도 너무 멋있습니다!/분위기 인테리어 공원뷰 좌석 라떼맛 쿠키맛 최고예요 자극적이지 않고 고소해요 화장실 깨끗하고 카페 내부에 있어요 콘센트도 심지어 좌석마다 잘되어있어요 집에서 40분거리지만 공부하러 또 올 거예요... 나만 알고싶은 카페지만 이미 유명한 카페/너무 좋아요... 맛있고 특색있음 . 두유 옵션도 좋다/분위기 최고.. 부산스럽지 않고 여유롭고 비건 디저트와 커피도 정말 만족스럽네요. 자주 올 것 같습니다./두유랑 오트우유 옵션이 넘 좋아요 ㅎㅎㅎㅎ! 베이커리도 맛있고 분위기도 좋고 사장님이 넘 친절하셨어요! /비건이라서 그런가 생각한 만큼 달달하고 막 맛있는 제가 기대한 쿠키 맛은 아닌데 나쁘지 않아요!/말모….사랑합니다… 레오파드 쿠키 진짜 너무 심각하게 맛있어요 현기증나여/비건 케이크 다 먹어봤는데 맛있어요 국내에 로푸드 케이크 하는 집이 없어져서 아쉬웠는데 갈 만한 곳입니다 옆에 산책길 있어서 분위기 좋음 푸드 컨셉도 다 귀여워요 ㅋㅋ /커피랑 빵 향기가 가득할 거 같은데 들어가는 순간 향초냄새가 덮어버리는데다가 계속 있으면 눈도 목도 따가워서 오래있기 어려운 곳이었습니다. 빵과 음료는 맛있어요ㅠㅠ /비건 도넛과 음료 맛있고 분위기도 좋고 노래도 좋아요/낙타쿠키 최고,,, 사장님 아프시지 말고 건강하시고 매일매일 하루24시간 365일내내 쿠키만 구우셨으면 하는맴,,,,/커피와 디저트 맛, 가격 공간과 분위기 친절, 배경음악 모든게 좋음요/예전부터 가고 싶었는데 드디어 갔다 왔네요!  우선 주인분의 철학이 멋져서 관심을 갖게 되었는데  카페에서 나오는 음악도 너무 좋고  마음 편안히 공부도하고 기분도 좋아졌던 공간이에요.   일하시는분도 너무 친절하시고 다 좋았어요!   도넛은 종류별로 맛봤는데 얼그레이가 최고네요. 아직 비건은 아니지만 계속 비건이 되려고 시도중인데 도넛들과 쿠키를 먹었는데...더보기/존맛.. 가게 컨셉과 철학도 음악도 다 넘 좋음/쿠키랑 케이크 정말 맛있습니다. 사장님 모두 너무  친절하세욤 :)/비건이구 맛있습니당 :) 음료도 도넛도 맛있게 먹었습니다! 무엇보다 사장님이 너무~~ 친절하세요  다음에 다시 방문하려구 합니다"
